,record_num,id,latitude,longitude,vehicle_label,current_status,bearing,direction_id,occupancy_status
0,1,y1849,42.37305226,-71.11767013,1849,STOPPED_AT,295,1,MANY_SEATS_AVAILABLE
1,2,y1849,42.37303643,-71.1176865,1849,STOPPED_AT,0,1,MANY_SEATS_AVAILABLE
2,3,y1849,42.37304432,-71.11769536,1849,STOPPED_AT,0,1,MANY_SEATS_AVAILABLE
3,4,y1849,42.37304432,-71.11769536,1849,STOPPED_AT,0,1,MANY_SEATS_AVAILABLE
4,5,y1849,42.37304432,-71.11769536,1849,STOPPED_AT,0,1,MANY_SEATS_AVAILABLE
5,6,y1849,42.37304432,-71.11769536,1849,STOPPED_AT,0,1,MANY_SEATS_AVAILABLE
6,7,y1849,42.37309,-71.11768,1849,STOPPED_AT,270,1,MANY_SEATS_AVAILABLE
7,8,y1849,42.37314546,-71.11814007,1849,STOPPED_AT,255,1,MANY_SEATS_AVAILABLE
8,9,y1849,42.37319123,-71.11864147,1849,STOPPED_AT,292,1,MANY_SEATS_AVAILABLE
9,10,y1849,42.37315226,-71.11879945,1849,STOPPED_AT,235,1,MANY_SEATS_AVAILABLE
10,11,y1849,42.3728853,-71.11902948,1849,STOPPED_AT,199,1,MANY_SEATS_AVAILABLE
11,12,y1849,42.37240009,-71.11922835,1849,STOPPED_AT,198,1,MANY_SEATS_AVAILABLE
12,13,y1849,42.37204441,-71.11884737,1849,IN_TRANSIT_TO,113,1,MANY_SEATS_AVAILABLE
13,14,y1849,42.37163175,-71.11761947,1849,IN_TRANSIT_TO,117,1,MANY_SEATS_AVAILABLE
14,15,y1849,42.37134369,-71.11690434,1849,IN_TRANSIT_TO,116,1,MANY_SEATS_AVAILABLE
15,16,y1849,42.37118203,-71.11644111,1849,IN_TRANSIT_TO,0,1,MANY_SEATS_AVAILABLE
16,17,y1849,42.37122,-71.11646,1849,IN_TRANSIT_TO,135,1,MANY_SEATS_AVAILABLE
17,18,y1849,42.37114127,-71.11638612,1849,STOPPED_AT,120,1,MANY_SEATS_AVAILABLE
18,19,y1849,42.3708083,-71.11573421,1849,STOPPED_AT,143,1,MANY_SEATS_AVAILABLE
19,20,y1849,42.37078005,-71.11571081,1849,STOPPED_AT,146,1,MANY_SEATS_AVAILABLE
20,21,y1849,42.37080778,-71.11562907,1849,STOPPED_AT,0,1,MANY_SEATS_AVAILABLE
